time,open,high,low,close,vol,mount
2014/04/16 10:37:17.100,2231.4,2231.6,2231.4,2231.4,23,61807
2014/04/16 10:37:17.600,2231.4,2231.8,2231.4,2231.4,5,61808
2014/04/16 10:37:18.100,2231.2,2231.4,2231.2,2231.2,12,61808
2014/04/16 10:37:18.600,2231.4,2231.4,2231.2,2231.4,5,61806
2014/04/16 10:37:19.100,2231.4,2231.4,2231.2,2231.4,16,61807
2014/04/16 10:37:19.600,2231.4,2231.4,2231.2,2231.4,9,61804
2014/04/16 10:37:20.100,2231.2,2231.4,2231.2,2231.2,5,61805
2014/04/16 10:37:20.600,2231.2,2231.2,2231.0,2231.2,14,61797
2014/04/16 10:37:21.100,2231.2,2231.2,2231.0,2231.2,4,61795
2014/04/16 10:37:21.600,2231.2,2231.2,2231.0,2231.2,3,61796
2014/04/16 10:37:22.100,2231.2,2231.4,2231.2,2231.2,12,61805
2014/04/16 10:37:22.600,2231.2,2231.4,2231.2,2231.2,13,61806
2014/04/16 10:37:23.100,2231.2,2231.4,2231.2,2231.2,7,61812
2014/04/16 10:37:23.600,2231.0,2231.2,2231.0,2231.0,4,61813
2014/04/16 10:37:24.100,2231.0,2231.2,2231.0,2231.0,5,61814
2014/04/16 10:37:24.600,2231.0,2231.0,2230.8,2231.0,30,61826
2014/04/16 10:37:25.100,2230.8,2231.0,2230.8,2230.8,3,61826
2014/04/16 10:37:25.600,2231.2,2231.2,2231.0,2231.2,27,61806
2014/04/16 10:37:26.100,2231.0,2231.2,2231.0,2231.0,11,61804
2014/04/16 10:37:26.600,2231.0,2231.2,2231.0,2231.0,12,61797
2014/04/16 10:37:27.100,2231.0,2231.2,2231.0,2231.0,12,61792
2014/04/16 10:37:27.600,2231.2,2231.2,2231.0,2231.2,23,61777
2014/04/16 10:37:28.100,2231.2,2231.2,2230.8,2231.2,52,61743
2014/04/16 10:37:28.600,2231.2,2231.4,2231.2,2231.2,18,61747
2014/04/16 10:37:29.100,2231.0,2231.4,2231.0,2231.0,3,61748
2014/04/16 10:37:29.600,2231.4,2231.4,2231.2,2231.4,15,61745
2014/04/16 10:37:30.100,2231.2,2231.4,2231.2,2231.2,1,61746
2014/04/16 10:37:30.600,2231.2,2231.4,2231.2,2231.2,5,61748
2014/04/16 10:37:31.100,2231.4,2231.6,2231.4,2231.4,30,61740
2014/04/16 10:37:31.600,2231.4,2231.6,2231.4,2231.4,3,61738
2014/04/16 10:37:32.100,2231.4,2231.6,2231.4,2231.4,16,61736
2014/04/16 10:37:32.600,2231.6,2231.6,2231.4,2231.6,3,61736
2014/04/16 10:37:33.100,2231.4,2231.6,2231.4,2231.4,3,61735
2014/04/16 10:37:33.600,2231.6,2231.6,2231.2,2231.6,20,61727
2014/04/16 10:37:34.100,2231.6,2231.6,2231.2,2231.6,13,61733
2014/04/16 10:37:34.600,2231.2,2231.6,2231.2,2231.2,6,61734
2014/04/16 10:37:35.100,2231.4,2231.4,2231.2,2231.4,16,61732
2014/04/16 10:37:35.600,2231.4,2231.4,2231.2,2231.4,3,61734
2014/04/16 10:37:36.100,2231.4,2231.4,2231.2,2231.4,14,61728
2014/04/16 10:37:36.600,2231.4,2231.8,2231.6,2231.4,25,61722
2014/04/16 10:37:37.100,2231.4,2231.6,2231.4,2231.4,11,61724
2014/04/16 10:37:37.600,2231.2,2231.4,2231.2,2231.2,9,61730
2014/04/16 10:37:38.100,2231.2,2231.2,2231.0,2231.2,9,61729
2014/04/16 10:37:38.600,2231.2,2231.4,2231.2,2231.2,40,61737
2014/04/16 10:37:39.100,2231.0,2231.4,2231.0,2231.0,11,61735
2014/04/16 10:37:39.600,2231.4,2231.2,2231.0,2231.4,11,61744
2014/04/16 10:37:40.100,2231.2,2231.2,2231.0,2231.2,6,61743
2014/04/16 10:37:40.600,2231.2,2231.2,2231.0,2231.2,2,61743
2014/04/16 10:37:41.100,2231.2,2231.2,2231.0,2231.2,14,61752
2014/04/16 10:37:41.600,2231.2,2231.2,2231.0,2231.2,6,61750
2014/04/16 10:37:42.100,2231.0,2231.2,2231.0,2231.0,2,61750
2014/04/16 10:37:42.600,2231.0,2231.2,2231.0,2231.0,8,61749
2014/04/16 10:37:43.100,2231.0,2231.0,2230.8,2231.0,2,61749
2014/04/16 10:37:43.600,2230.8,2231.0,2230.8,2230.8,6,61747
2014/04/16 10:37:44.100,2230.8,2231.0,2230.8,2230.8,11,61743
2014/04/16 10:37:44.600,2231.0,2231.0,2230.8,2231.0,5,61743
2014/04/16 10:37:45.100,2230.8,2231.0,2230.8,2230.8,3,61742
2014/04/16 10:37:45.600,2230.8,2231.0,2230.6,2230.8,12,61741
2014/04/16 10:37:46.100,2230.6,2230.8,2230.6,2230.6,4,61741
2014/04/16 10:37:46.600,2230.8,2230.8,2230.6,2230.8,8,61742
2014/04/16 10:37:47.100,2230.6,2230.8,2230.6,2230.6,10,61740
2014/04/16 10:37:47.600,2230.6,2230.8,2230.6,2230.6,14,61740
2014/04/16 10:37:48.100,2230.6,2230.8,2230.6,2230.6,12,61735
2014/04/16 10:37:48.600,2230.6,2230.6,2230.4,2230.6,35,61709
2014/04/16 10:37:49.100,2230.6,2230.6,2230.4,2230.6,23,61703
2014/04/16 10:37:49.600,2230.4,2230.4,2230.2,2230.4,9,61704
2014/04/16 10:37:50.100,2230.2,2230.4,2230.2,2230.2,3,61704
2014/04/16 10:37:50.600,2230.4,2230.6,2230.4,2230.4,25,61702
2014/04/16 10:37:51.100,2230.6,2230.6,2230.4,2230.6,10,61698
2014/04/16 10:37:51.600,2230.8,2231.0,2230.8,2230.8,30,61699
2014/04/16 10:37:52.100,2231.2,2231.4,2231.2,2231.2,42,61722
2014/04/16 10:37:52.600,2231.2,2231.4,2231.2,2231.2,29,61718
2014/04/16 10:37:53.100,2231.2,2231.2,2231.0,2231.2,8,61718
2014/04/16 10:37:53.600,2231.0,2231.2,2231.0,2231.0,22,61705
2014/04/16 10:37:54.100,2231.0,2231.2,2231.0,2231.0,27,61711
2014/04/16 10:37:54.600,2231.0,2231.0,2230.8,2231.0,18,61705
2014/04/16 10:37:55.100,2231.0,2231.0,2230.8,2231.0,14,61703
2014/04/16 10:37:55.600,2230.8,2231.0,2230.8,2230.8,5,61703
2014/04/16 10:37:56.100,2230.8,2231.0,2230.8,2230.8,7,61703
2014/04/16 10:37:56.600,2231.0,2231.0,2230.8,2231.0,8,61702
2014/04/16 10:37:57.100,2230.6,2230.8,2230.6,2230.6,3,61702
2014/04/16 10:37:57.600,2230.8,2230.8,2230.6,2230.8,3,61704
2014/04/16 10:37:58.100,2230.6,2230.8,2230.6,2230.6,6,61705
2014/04/16 10:37:58.600,2230.8,2231.0,2230.8,2230.8,5,61704
2014/04/16 10:37:59.100,2231.0,2231.0,2230.8,2231.0,52,61709
2014/04/16 10:37:59.600,2231.0,2231.0,2230.8,2231.0,0,61709
2014/04/16 10:38:00.100,2231.0,2231.0,2230.8,2231.0,4,61709
2014/04/16 10:38:00.600,2231.0,2231.0,2230.8,2231.0,92,61724
2014/04/16 10:38:01.100,2231.0,2231.4,2231.0,2231.0,78,61736
2014/04/16 10:38:01.600,2231.0,2231.2,2231.0,2231.0,118,61761
2014/04/16 10:38:02.100,2231.8,2231.8,2231.2,2231.8,41,61778
2014/04/16 10:38:02.600,2231.0,2231.4,2231.0,2231.0,176,61845
2014/04/16 10:38:03.100,2231.4,2231.6,2231.2,2231.4,28,61856
2014/04/16 10:38:03.600,2231.4,2231.4,2231.2,2231.4,1,61856
2014/04/16 10:38:04.100,2231.2,2231.6,2231.4,2231.2,56,61853
2014/04/16 10:38:04.600,2231.8,2231.8,2231.4,2231.8,15,61857
2014/04/16 10:38:05.100,2231.8,2231.8,2231.4,2231.8,7,61857
2014/04/16 10:38:05.600,2231.8,2231.8,2231.6,2231.8,42,61851
2014/04/16 10:38:06.100,2231.6,2231.6,2231.4,2231.6,18,61840
2014/04/16 10:38:06.600,2231.4,2231.6,2231.4,2231.4,29,61823
2014/04/16 10:38:07.100,2231.8,2231.8,2231.4,2231.8,10,61823
2014/04/16 10:38:07.600,2231.6,2231.8,2231.6,2231.6,31,61819
2014/04/16 10:38:08.100,2231.6,2231.6,2231.4,2231.6,15,61825
2014/04/16 10:38:08.600,2231.8,2231.8,2231.6,2231.8,11,61828
2014/04/16 10:38:09.100,2231.8,2232.0,2231.8,2231.8,10,61828
2014/04/16 10:38:09.600,2231.8,2232.0,2231.8,2231.8,17,61820
2014/04/16 10:38:10.100,2232.0,2232.0,2231.8,2232.0,28,61820
2014/04/16 10:38:10.600,2231.8,2231.8,2231.6,2231.8,69,61818
2014/04/16 10:38:11.100,2231.4,2231.6,2231.4,2231.4,56,61853
2014/04/16 10:38:11.600,2231.4,2231.6,2231.4,2231.4,14,61853
2014/04/16 10:38:12.100,2231.4,2231.8,2231.4,2231.4,89,61920
2014/04/16 10:38:12.600,2231.6,2231.8,2231.6,2231.6,9,61917
2014/04/16 10:38:13.100,2231.8,2232.0,2231.8,2231.8,26,61930
2014/04/16 10:38:13.600,2232.0,2232.0,2231.8,2232.0,34,61935
2014/04/16 10:38:14.100,2232.0,2232.0,2231.8,2232.0,62,61942
2014/04/16 10:38:14.600,2231.8,2232.0,2231.8,2231.8,46,61970
2014/04/16 10:38:15.100,2231.8,2232.0,2231.8,2231.8,58,61980
2014/04/16 10:38:15.600,2232.0,2231.8,2231.6,2232.0,40,61998
2014/04/16 10:38:16.100,2231.8,2231.8,2231.6,2231.8,45,61999
2014/04/16 10:38:16.600,2232.0,2232.0,2231.6,2232.0,49,61999
2014/04/16 10:38:17.100,2231.8,2231.8,2231.6,2231.8,23,61989
2014/04/16 10:38:17.600,2231.8,2232.0,2231.8,2231.8,48,61991
