<Date>, <Time>, <Price>, <Volume>
2014/4/16,9:19:21,2230.8,35
2014/4/16,9:19:22,2230.6,18
2014/4/16,9:19:22,2230.8,26
2014/4/16,9:19:23,2230.8,13
2014/4/16,9:19:23,2230.6,35
2014/4/16,9:19:24,2230.8,37
2014/4/16,9:19:24,2230.6,14
2014/4/16,9:19:25,2231.0,6
2014/4/16,9:19:25,2230.8,17
2014/4/16,9:19:26,2230.8,12
2014/4/16,9:19:26,2230.6,13
2014/4/16,9:19:27,2230.6,4
2014/4/16,9:19:27,2230.6,14
2014/4/16,9:19:28,2230.8,19
2014/4/16,9:19:28,2230.8,19
2014/4/16,9:19:29,2231.0,10
2014/4/16,9:19:29,2231.0,3
2014/4/16,9:19:30,2231.2,68
2014/4/16,9:19:30,2231.2,7
2014/4/16,9:19:31,2231.2,9
2014/4/16,9:19:31,2231.0,43
2014/4/16,9:19:32,2231.2,8
2014/4/16,9:19:32,2231.0,11
2014/4/16,9:19:33,2230.8,16
2014/4/16,9:19:33,2231.0,8
2014/4/16,9:19:34,2231.0,8
2014/4/16,9:19:34,2231.4,4
2014/4/16,9:19:35,2231.0,9
2014/4/16,9:19:35,2231.4,8
2014/4/16,9:19:36,2231.2,6
2014/4/16,9:19:36,2231.4,8
2014/4/16,9:19:37,2231.2,4
2014/4/16,9:19:37,2231.2,3
2014/4/16,9:19:38,2231.4,2
2014/4/16,9:19:38,2231.4,6
2014/4/16,9:19:39,2231.0,3
2014/4/16,9:19:39,2231.2,4
2014/4/16,9:19:40,2231.0,23
2014/4/16,9:19:40,2231.2,8
2014/4/16,9:19:41,2231.2,5
2014/4/16,9:19:41,2231.0,2
2014/4/16,9:19:42,2231.2,3
2014/4/16,9:19:42,2231.2,1
2014/4/16,9:19:43,2231.0,12
2014/4/16,9:19:43,2231.0,3
2014/4/16,9:19:44,2231.2,6
2014/4/16,9:19:44,2231.2,7
2014/4/16,9:19:45,2231.2,2
2014/4/16,9:19:45,2231.2,2
2014/4/16,9:19:46,2231.2,7
2014/4/16,9:19:46,2231.2,5
2014/4/16,9:19:47,2231.2,4
2014/4/16,9:19:47,2231.2,14
2014/4/16,9:19:48,2231.2,9
2014/4/16,9:19:48,2231.4,1
2014/4/16,9:19:49,2231.2,7
2014/4/16,9:19:50,2231.6,2
2014/4/16,9:19:50,2231.4,3
2014/4/16,9:19:51,2231.4,9
2014/4/16,9:19:51,2231.4,6
2014/4/16,9:19:52,2231.4,34
2014/4/16,9:19:52,2231.0,44
2014/4/16,9:19:53,2231.0,21
2014/4/16,9:19:54,2231.0,9
2014/4/16,9:19:54,2231.2,1
2014/4/16,9:19:55,2231.0,3
2014/4/16,9:19:55,2231.0,5
2014/4/16,9:19:56,2231.2,1
2014/4/16,9:19:56,2231.2,5
2014/4/16,9:19:57,2231.2,7
2014/4/16,9:19:57,2231.0,3
2014/4/16,9:19:58,2231.0,1
2014/4/16,9:19:58,2231.2,8
2014/4/16,9:19:59,2231.2,2
2014/4/16,9:19:59,2231.4,17
2014/4/16,9:20:00,2231.2,6
2014/4/16,9:20:00,2231.0,60
2014/4/16,9:20:01,2231.0,21
2014/4/16,9:20:01,2231.0,8
2014/4/16,9:20:02,2231.0,4
2014/4/16,9:20:02,2231.0,1
2014/4/16,9:20:03,2231.2,6
2014/4/16,9:20:03,2231.2,13
2014/4/16,9:20:04,2231.2,9
2014/4/16,9:20:04,2231.0,11
2014/4/16,9:20:05,2231.2,8
2014/4/16,9:20:05,2231.2,6
2014/4/16,9:20:06,2231.0,51
2014/4/16,9:20:06,2231.0,17
2014/4/16,9:20:07,2231.0,2
2014/4/16,9:20:07,2231.0,5
2014/4/16,9:20:08,2231.0,3
2014/4/16,9:20:08,2231.0,3
2014/4/16,9:20:09,2231.0,5
2014/4/16,9:20:09,2231.0,23
2014/4/16,9:20:10,2230.8,12
2014/4/16,9:20:10,2231.2,7
2014/4/16,9:20:11,2230.8,10
2014/4/16,9:20:11,2231.0,9
2014/4/16,9:20:12,2231.0,11
2014/4/16,9:20:12,2231.0,52
2014/4/16,9:20:13,2230.8,15
2014/4/16,9:20:13,2230.8,24
2014/4/16,9:20:14,2230.8,7
2014/4/16,9:20:14,2230.6,10
2014/4/16,9:20:15,2230.6,11
2014/4/16,9:20:15,2230.6,34
2014/4/16,9:20:16,2230.8,9
2014/4/16,9:20:16,2230.4,46
2014/4/16,9:20:17,2230.4,32
2014/4/16,9:20:17,2230.6,26
2014/4/16,9:20:18,2230.8,6
2014/4/16,9:20:18,2230.6,13
2014/4/16,9:20:19,2230.6,8
2014/4/16,9:20:19,2230.6,12
2014/4/16,9:20:20,2231.0,11
2014/4/16,9:20:20,2231.0,8
2014/4/16,9:20:21,2231.0,3
2014/4/16,9:20:21,2231.2,15
2014/4/16,9:20:22,2231.0,2
2014/4/16,9:20:22,2231.2,9
2014/4/16,9:20:23,2231.0,4
2014/4/16,9:20:23,2231.0,2
2014/4/16,9:20:24,2231.2,3
2014/4/16,9:20:24,2230.8,5
2014/4/16,9:20:25,2231.2,1
2014/4/16,9:20:26,2231.2,10
2014/4/16,9:20:26,2231.0,3
2014/4/16,9:20:27,2231.0,3
2014/4/16,9:20:27,2231.0,35
2014/4/16,9:20:28,2231.0,4
2014/4/16,9:20:28,2231.0,9
2014/4/16,9:20:29,2231.4,2
2014/4/16,9:20:29,2231.4,3
2014/4/16,9:20:30,2231.4,1
2014/4/16,9:20:30,2231.2,29
2014/4/16,9:20:31,2231.2,6
2014/4/16,9:20:32,2231.2,2
2014/4/16,9:20:32,2231.2,16
2014/4/16,9:20:33,2231.2,6
2014/4/16,9:20:33,2231.2,4
2014/4/16,9:20:34,2231.4,7
2014/4/16,9:20:34,2231.4,2
2014/4/16,9:20:35,2231.6,18
2014/4/16,9:20:35,2231.6,8
2014/4/16,9:20:36,2231.6,12
2014/4/16,9:20:36,2231.2,14
2014/4/16,9:20:37,2231.4,16
2014/4/16,9:20:37,2231.6,1
2014/4/16,9:20:38,2231.6,4
2014/4/16,9:20:38,2231.4,20
2014/4/16,9:20:39,2231.4,2
2014/4/16,9:20:39,2231.6,8
2014/4/16,9:20:40,2231.6,7
2014/4/16,9:20:40,2231.4,14
2014/4/16,9:20:41,2231.4,3
2014/4/16,9:20:41,2231.4,2
2014/4/16,9:20:42,2231.4,3
2014/4/16,9:20:42,2231.4,12
2014/4/16,9:20:43,2231.6,3
2014/4/16,9:20:43,2231.4,2
2014/4/16,9:20:44,2231.6,1
2014/4/16,9:20:44,2231.6,1
2014/4/16,9:20:45,2231.6,2
2014/4/16,9:20:45,2231.6,7
2014/4/16,9:20:46,2231.6,5
2014/4/16,9:20:46,2231.6,10
2014/4/16,9:20:47,2231.4,1
2014/4/16,9:20:47,2231.4,1
2014/4/16,9:20:48,2231.6,6
2014/4/16,9:20:48,2231.6,1
2014/4/16,9:20:49,2231.6,2
2014/4/16,9:20:49,2231.6,4
2014/4/16,9:20:50,2231.8,26
2014/4/16,9:20:50,2231.8,5
2014/4/16,9:20:51,2231.8,9
2014/4/16,9:20:51,2231.8,24
2014/4/16,9:20:52,2231.8,6
2014/4/16,9:20:52,2231.8,10
2014/4/16,9:20:53,2231.8,5
